alloc!
Epoch 203, train_loss=90.24, val_loss=646.7
Epoch 204, train_loss=90.15, val_loss=647.1
Epoch 205, train_loss=90.24, val_loss=648.7
Epoch 206, train_loss=90.06, val_loss=647.1
Epoch 207, train_loss=90.01, val_loss=644.9
Epoch 208, train_loss=89.94, val_loss=644.9
Epoch 209, train_loss=89.87, val_loss=644.6
Epoch 210, train_loss=89.79, val_loss=644
Epoch 211, train_loss=89.79, val_loss=645
Epoch 212, train_loss=89.64, val_loss=644.8
Epoch 213, train_loss=89.66, val_loss=642.8
Epoch 214, train_loss=89.58, val_loss=643.6
Epoch 215, train_loss=89.44, val_loss=643.7
Epoch 216, train_loss=89.38, val_loss=643.5
Epoch 217, train_loss=89.37, val_loss=641.9
Epoch 218, train_loss=89.25, val_loss=641.8
Epoch 219, train_loss=89.23, val_loss=642.4
Epoch 220, train_loss=89.12, val_loss=641.5
Epoch 221, train_loss=89.07, val_loss=641.6
Epoch 222, train_loss=89.01, val_loss=640.7
Epoch 223, train_loss=88.98, val_loss=640.3
Epoch 224, train_loss=88.87, val_loss=640.2
Epoch 225, train_loss=88.81, val_loss=640
Epoch 226, train_loss=88.77, val_loss=640.6
Epoch 227, train_loss=88.68, val_loss=639.5
Epoch 228, train_loss=88.66, val_loss=638.2
Epoch 229, train_loss=88.58, val_loss=638.6
Epoch 230, train_loss=88.53, val_loss=638.4
Epoch 231, train_loss=88.47, val_loss=638.8
Epoch 232, train_loss=88.39, val_loss=638
Epoch 233, train_loss=88.34, val_loss=637.7
Epoch 234, train_loss=88.31, val_loss=638
Epoch 235, train_loss=88.25, val_loss=636.3
Epoch 236, train_loss=88.2, val_loss=637.2
Epoch 237, train_loss=88.11, val_loss=637.3
Epoch 238, train_loss=88.09, val_loss=635.6
Epoch 239, train_loss=87.98, val_loss=634.8
Epoch 240, train_loss=87.96, val_loss=635.1
Epoch 241, train_loss=87.88, val_loss=635.1
Epoch 242, train_loss=87.79, val_loss=635.9
Epoch 243, train_loss=87.77, val_loss=635.7
Epoch 244, train_loss=87.7, val_loss=635.3
Epoch 245, train_loss=87.65, val_loss=634.4
Epoch 246, train_loss=87.62, val_loss=634.2
Epoch 247, train_loss=87.53, val_loss=633.7
Epoch 248, train_loss=87.48, val_loss=632.3
Epoch 249, train_loss=87.58, val_loss=633.3
Epoch 250, train_loss=87.37, val_loss=631.8
Epoch 251, train_loss=87.3, val_loss=631.3
Epoch 252, train_loss=87.25, val_loss=631.6
Epoch 253, train_loss=87.23, val_loss=632.8
