alloc!
Epoch 188, train_loss=163.9, val_loss=1789
Epoch 189, train_loss=163.9, val_loss=1789
Epoch 190, train_loss=163.8, val_loss=1789
Epoch 191, train_loss=163.8, val_loss=1789
Epoch 192, train_loss=163.7, val_loss=1789
Epoch 193, train_loss=163.7, val_loss=1789
Epoch 194, train_loss=163.6, val_loss=1790
Epoch 195, train_loss=163.6, val_loss=1789
Epoch 196, train_loss=163.5, val_loss=1789
Epoch 197, train_loss=163.5, val_loss=1789
Epoch 198, train_loss=163.4, val_loss=1788
Epoch 199, train_loss=163.4, val_loss=1788
Epoch 200, train_loss=163.3, val_loss=1788
Epoch 201, train_loss=163.2, val_loss=1788
Epoch 202, train_loss=163.2, val_loss=1788
Epoch 203, train_loss=163.2, val_loss=1788
Epoch 204, train_loss=163.1, val_loss=1788
Epoch 205, train_loss=163.1, val_loss=1788
Epoch 206, train_loss=163, val_loss=1789
Epoch 207, train_loss=163, val_loss=1789
Epoch 208, train_loss=162.9, val_loss=1788
Epoch 209, train_loss=162.9, val_loss=1789
Epoch 210, train_loss=162.8, val_loss=1789
Epoch 211, train_loss=162.8, val_loss=1788
Epoch 212, train_loss=162.8, val_loss=1788
Epoch 213, train_loss=162.9, val_loss=1789
Epoch 214, train_loss=162.7, val_loss=1789
Epoch 215, train_loss=162.6, val_loss=1789
Epoch 216, train_loss=162.6, val_loss=1788
Epoch 217, train_loss=162.7, val_loss=1788
Epoch 218, train_loss=162.5, val_loss=1788
Epoch 219, train_loss=162.5, val_loss=1788
Epoch 220, train_loss=162.4, val_loss=1788
Epoch 221, train_loss=162.4, val_loss=1789
Epoch 222, train_loss=162.3, val_loss=1789
Epoch 223, train_loss=162.3, val_loss=1789
Epoch 224, train_loss=162.2, val_loss=1789
Epoch 225, train_loss=162.2, val_loss=1789
Epoch 226, train_loss=162.1, val_loss=1789
Epoch 227, train_loss=162.2, val_loss=1789
Epoch 228, train_loss=162.1, val_loss=1788
Epoch 229, train_loss=162, val_loss=1789
Epoch 230, train_loss=162, val_loss=1788
Epoch 231, train_loss=162, val_loss=1789
Epoch 232, train_loss=162, val_loss=1789
Epoch 233, train_loss=161.9, val_loss=1789
Epoch 234, train_loss=161.8, val_loss=1789
Epoch 235, train_loss=161.8, val_loss=1788
Epoch 236, train_loss=161.8, val_loss=1788
Epoch 237, train_loss=161.9, val_loss=1789
Epoch 238, train_loss=161.7, val_loss=1789
Epoch 239, train_loss=161.7, val_loss=1789
Epoch 240, train_loss=161.6, val_loss=1789
Epoch 241, train_loss=161.6, val_loss=1788
Epoch 242, train_loss=161.6, val_loss=1788
Epoch 243, train_loss=161.6, val_loss=1789
Epoch 244, train_loss=161.5, val_loss=1790
Epoch 245, train_loss=161.4, val_loss=1790
